City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
194,Goderich,CA,43.7501,-81.7165,54.91,82,100,5.75,overcast clouds
195,Ketegyhaza,HU,46.5333,21.1833,66.36,81,93,6.87,overcast clouds
196,Ahipara,NZ,-35.1667,173.1667,62.1,76,100,7.7,light rain
197,Bethel,US,41.3712,-73.414,69.03,81,100,1.99,moderate rain
198,Saint-Augustin,CA,51.226,-58.6502,53.76,37,11,7.99,few clouds
199,Killybegs,IE,54.6333,-8.45,54.21,94,89,11.5,overcast clouds
200,Sambava,MG,-14.2667,50.1667,69.96,82,4,10.22,clear sky
201,Islamkot,PK,24.6997,70.177,79.88,84,1,17.81,clear sky
202,Nemuro,JP,43.3236,145.575,46.31,78,100,7.49,overcast clouds
203,Tadine,NC,-21.55,167.8833,77.68,65,93,11.86,overcast clouds
204,Manokwari,ID,-0.8667,134.0833,82.87,70,99,6.6,overcast clouds
205,Gazli,UZ,40.1333,63.45,82.33,14,4,4.12,clear sky
206,Isla Vista,US,34.4133,-119.861,84.34,56,0,6.91,clear sky
207,Kapuskasing,CA,49.4169,-82.4331,62.69,55,40,10.36,scattered clouds
208,Lorengau,PG,-2.0226,147.2712,84.49,70,25,8.41,scattered clouds
209,Banjar,ID,-8.19,114.9675,82.35,82,100,3.76,overcast clouds
210,Cabo San Lucas,MX,22.8909,-109.9124,83.61,60,9,7.0,clear sky
211,Borinskoye,RU,52.4569,39.3713,51.1,88,0,5.73,clear sky
212,Natal,BR,-5.795,-35.2094,77.22,94,40,3.44,scattered clouds
213,Kruisfontein,ZA,-34.0033,24.7314,60.98,37,0,10.33,clear sky
214,Axim,GH,4.8699,-2.2405,78.24,77,90,6.2,overcast clouds
215,Yakima,US,46.4665,-120.6678,76.17,35,0,3.44,clear sky
216,Kaeo,NZ,-35.1,173.7833,61.32,97,100,6.31,overcast clouds
217,Inongo,CD,-1.95,18.2667,70.29,66,100,2.44,overcast clouds
218,Sinjai,ID,-5.1241,120.253,82.78,78,100,4.47,overcast clouds
219,Akureyri,IS,65.6835,-18.0878,48.13,87,0,8.05,clear sky
220,Bolobo,CD,-2.1667,16.2333,71.89,64,71,1.83,broken clouds
221,Luderitz,NA,-26.6481,15.1594,67.15,30,0,9.48,clear sky
222,Huarmey,PE,-10.0681,-78.1522,64.98,84,4,6.62,clear sky
223,Aksu,CN,41.1231,80.2644,74.14,22,0,3.02,clear sky
224,Hasaki,JP,35.7333,140.8333,63.28,84,100,13.0,overcast clouds
225,Saint George,US,37.1041,-113.5841,100.99,11,0,16.11,clear sky
226,Dingle,PH,10.9995,122.6711,84.58,70,22,2.86,few clouds
227,Rawson,AR,-43.3002,-65.1023,49.87,56,0,13.18,clear sky
228,Broken Hill,AU,-31.95,141.4333,52.83,47,99,10.98,overcast clouds
229,Anadyr,RU,64.75,177.4833,45.1,61,0,13.42,clear sky
230,Kanniyakumari,IN,8.0833,77.5667,79.09,85,88,16.31,overcast clouds
231,Kidodi,TZ,-7.6036,37.0044,70.11,71,100,2.91,overcast clouds
232,Salalah,OM,17.0151,54.0924,81.05,76,99,4.38,overcast clouds
233,Victoria,HK,22.2855,114.1577,81.97,91,100,11.99,overcast clouds
234,Cap Malheureux,MU,-19.9842,57.6142,71.47,78,5,3.0,clear sky
235,Sitka,US,57.0531,-135.33,66.09,48,75,6.91,broken clouds
236,Nador,MA,35.174,-2.9287,71.85,53,0,2.3,clear sky
237,Vestmannaeyjar,IS,63.4427,-20.2734,49.42,86,100,17.92,overcast clouds
238,Gat,IL,31.61,34.7642,75.4,85,0,2.95,clear sky
239,Esperance,AU,-33.8667,121.9,53.89,72,71,9.31,broken clouds
240,Longyearbyen,SJ,78.2186,15.6401,40.84,70,20,11.5,few clouds
241,Tarauaca,BR,-8.1614,-70.7656,72.41,97,48,2.44,scattered clouds
242,Tura,IN,25.5198,90.2201,76.68,94,100,4.88,light rain
243,Mbamba,NG,9.9833,13.1,76.06,70,100,4.09,overcast clouds
244,Pafos,CY,34.7667,32.4167,73.18,78,40,4.61,scattered clouds
245,Yamada,JP,39.4667,141.95,57.38,63,16,6.2,few clouds
246,Americus,US,32.0724,-84.2327,87.93,45,0,3.44,clear sky
247,Ketchikan,US,55.3422,-131.6461,63.07,59,0,8.05,clear sky
248,Marsa Matruh,EG,31.3525,27.2453,73.31,73,0,6.96,clear sky
249,Chacabuco,AR,-34.6417,-60.4739,51.26,64,0,4.03,clear sky
250,Olafsvik,IS,64.8945,-23.7142,49.48,88,100,4.05,overcast clouds
251,East London,ZA,-33.0153,27.9116,62.26,60,0,8.43,clear sky
252,Kloulklubed,PW,7.0419,134.2556,83.08,72,60,8.75,broken clouds
253,Kaset Sombun,TH,16.2805,101.9542,80.37,71,100,4.05,light rain
254,Manggar,ID,-2.8833,108.2667,83.07,74,89,1.59,overcast clouds
255,Shadrinsk,RU,56.0852,63.6335,54.66,93,20,8.72,few clouds
256,Armenia,AM,40.0,45.0,55.45,54,0,8.37,clear sky
257,Flinders,AU,-34.5833,150.8552,57.38,54,0,8.99,clear sky
258,Pisco,PE,-13.7,-76.2167,62.65,82,20,9.22,few clouds
259,San Antero,CO,9.3741,-75.7589,79.43,82,100,3.51,overcast clouds
260,Port Lincoln,AU,-34.7333,135.8667,56.5,61,90,10.42,overcast clouds
261,Rorvik,NO,64.8621,11.2373,45.39,68,100,24.83,overcast clouds
262,Atherton,GB,53.5237,-2.4935,59.14,95,100,4.0,overcast clouds
263,Launceston,AU,-41.45,147.1667,46.35,78,92,9.22,overcast clouds
264,Nogliki,RU,51.8333,143.1667,42.4,93,100,7.56,overcast clouds
265,Lebu,CL,-37.6167,-73.65,52.39,90,33,0.85,scattered clouds
266,Aykhal,RU,66.0,111.5,60.21,54,100,12.68,overcast clouds
267,Karasuk,RU,53.7377,78.0403,56.66,69,100,12.77,overcast clouds
268,Clyde River,CA,70.4692,-68.5914,43.03,70,100,2.3,overcast clouds
269,Avera,US,33.194,-82.5271,81.91,68,100,4.7,overcast clouds
270,Katsuura,JP,35.1333,140.3,62.26,93,100,14.12,overcast clouds
271,Kirovsk,UA,48.6375,38.6428,56.14,80,5,3.15,clear sky
272,Quatre Cocos,MU,-20.2078,57.7625,71.1,79,9,7.61,clear sky
273,Madimba,TZ,-10.4,40.3333,69.94,90,38,10.31,scattered clouds
274,Quelimane,MZ,-17.8786,36.8883,66.15,100,75,5.75,broken clouds
275,Viedma,AR,-40.8135,-62.9967,49.59,57,0,5.73,clear sky
276,Yerbogachen,RU,61.2767,108.0108,51.62,56,83,10.42,broken clouds
277,Katherine,AU,-14.4667,132.2667,77.32,33,52,16.11,broken clouds
278,San Patricio,US,28.017,-97.5169,88.54,68,9,16.4,clear sky
279,Kutum,SD,14.2,24.6667,77.49,18,8,8.5,clear sky
280,Contamana,PE,-7.3333,-75.0167,75.72,86,42,1.86,scattered clouds
281,Novikovo,RU,51.1537,37.8879,54.27,83,3,2.44,clear sky
282,Canaries,ES,28.0,-15.5,62.56,73,20,31.07,few clouds
283,Cidreira,BR,-30.1811,-50.2056,61.88,84,0,7.4,clear sky
284,Taunggyi,MM,20.7833,97.0333,64.36,96,100,4.16,overcast clouds
