City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Puerto Maldonado,PE,2022-06-05 19:05:09,-12.6,-69.1833,77.4,73,75,5.75
150,Warrnambool,AU,2022-06-05 19:05:09,-38.3833,142.4833,48.81,69,100,25.23
151,Luderitz,NA,2022-06-05 19:05:10,-26.6481,15.1594,69.01,33,100,8.37
152,Atuona,PF,2022-06-05 19:05:10,-9.8,-139.0333,78.13,71,13,15.77
153,Saint-Philippe,RE,2022-06-05 19:05:10,-21.3585,55.7679,69.39,74,46,12.33
154,Narsaq,GL,2022-06-05 19:05:11,60.9167,-46.05,66.42,47,100,2.62
155,Bluefields,NI,2022-06-05 19:05:11,12.0137,-83.7635,85.95,67,52,5.32
156,Altay,CN,2022-06-05 19:05:11,47.8667,88.1167,48.69,83,19,7.31
157,Avera,US,2022-06-05 19:05:12,33.194,-82.5271,86.56,31,65,8.01
158,Saldanha,ZA,2022-06-05 19:05:12,-33.0117,17.9442,63.82,52,1,7.29
159,Airai,TL,2022-06-05 19:05:12,-8.9266,125.4092,58.3,91,91,2.19
160,Derzhavinsk,KZ,2022-06-05 19:05:13,51.1,66.3167,53.38,61,31,7.7
161,Martinsville,US,2022-06-05 19:05:13,36.6915,-79.8725,80.83,43,0,4.61
162,Yenagoa,NG,2022-06-05 19:05:14,4.9247,6.2642,73.67,96,100,1.72
163,Marzuq,YE,2022-06-05 19:05:14,14.4,46.4667,77.95,51,25,6.15
164,Husavik,IS,2022-06-05 19:05:14,66.0449,-17.3389,42.19,74,98,18.54
165,Tasiilaq,GL,2022-06-05 19:03:13,65.6145,-37.6368,46.56,52,29,5.01
166,Mehamn,NO,2022-06-05 19:05:15,71.0357,27.8492,46.35,76,0,4.61
167,East London,ZA,2022-06-05 19:01:11,-33.0153,27.9116,63.25,71,38,8.79
168,Porto Velho,BR,2022-06-05 19:03:30,-8.7619,-63.9039,87.85,62,20,2.3
169,Muros,ES,2022-06-05 19:05:15,42.7762,-9.0603,66.69,77,100,6.82
170,Chumikan,RU,2022-06-05 19:05:16,54.7183,135.315,45.99,72,20,4.43
171,Ushtobe,KZ,2022-06-05 19:05:16,45.2514,77.9838,57.16,49,6,19.13
